Filter,RegexMode,Product,Version,Type,Architecture,TargetProductId,TargetClassifications
Microsoft Edge-Beta,,Microsoft Edge,,Beta,all,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Beta Channel Version * Update for ARM64*,Decline All,Microsoft Edge,,Beta,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Beta Channel Version * Update for x64*,Decline All,Microsoft Edge,,Beta,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Beta Channel Version * Update for x86*,Decline All,Microsoft Edge,,Beta,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Dev,,Microsoft Edge,,Dev,all,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Dev Channel Version * Update for ARM64*,Decline All,Microsoft Edge,,Dev,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Dev Channel Version * Update for x64*,Decline All,Microsoft Edge,,Dev,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Dev Channel Version * Update for x86*,Decline All,Microsoft Edge,,Dev,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Extended Stable,,Microsoft Edge,,ExtendedStable,all,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Extended Stable Channel Version * Update for ARM64*,Decline All,Microsoft Edge,,ExtendedStable,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Extended Stable Channel Version * Update for x64*,Decline All,Microsoft Edge,,ExtendedStable,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Extended Stable Channel Version * Update for x86*,Decline All,Microsoft Edge,,ExtendedStable,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-WebView2,,Microsoft Edge,,WebView2Runtime,all,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-WebView2 Runtime Version * Update for ARM64*,Decline All,Microsoft Edge,,WebView2Runtime,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-WebView2 Runtime Version * Update for x64*,Decline All,Microsoft Edge,,WebView2Runtime,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-WebView2 Runtime Version * Update for x86*,Decline All,Microsoft Edge,,WebView2Runtime,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Stable,,Microsoft Edge,,Stable,all,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Stable Channel Version * Update for ARM64*,Decline All,Microsoft Edge,,Stable,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Stable Channel Version * Update for x64*,Decline All,Microsoft Edge,,Stable,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
Microsoft Edge-Stable Channel Version * Update for x86*,Decline All,Microsoft Edge,,Stable,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Beta).+?(ARM64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Beta,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Beta).+?(x64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Beta,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Beta).+?(x86).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Beta,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Dev).+?(ARM64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Dev,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Dev).+?(x64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Dev,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Dev).+?(x86).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Dev,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Extended Stable).+?(ARM64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,ExtendedStable,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Extended Stable).+?(x64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,ExtendedStable,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Extended Stable).+?(x86).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,ExtendedStable,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-WebView2).+?(ARM64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,WebView2Runtime,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-WebView2).+?(x64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,WebView2Runtime,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-WebView2).+?(x86).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,WebView2Runtime,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Stable).+?(ARM64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Stable,arm64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Stable).+?(x64).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Stable,x64,69010383-ff55-4227-bd6c-d91c26f2643b,
(Microsoft Edge-Stable).+?(x86).+?(Build )(?<Version>.+)\),Decline Old Version,Microsoft Edge,,Stable,x86,69010383-ff55-4227-bd6c-d91c26f2643b,
