Filter,Mode,Product,Version,Type,Architecture,TargetProductId,TargetClassifications
arm64,,Windows 10,,All,arm64,"a3c2375d-0c8a-42f9-bce0-28333e198407
b3c75dc1-155f-4be4-b015-3f1a91758e52
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
x64,,Windows 10,,All,x64,"a3c2375d-0c8a-42f9-bce0-28333e198407
b3c75dc1-155f-4be4-b015-3f1a91758e52
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
x86,,Windows 10,,All,x86,"a3c2375d-0c8a-42f9-bce0-28333e198407
b3c75dc1-155f-4be4-b015-3f1a91758e52
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
Windows 10 (KB3125217),,Windows 10,1507,All,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB3125217),,Windows 10,1507,Updates,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB3141032),,Windows 10,1507,All,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB3141032),,Windows 10,1507,Updates,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB3161102),,Windows 10,1507,All,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB3161102),,Windows 10,1507,Updates,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB3173427),,Windows 10,1507,All,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB3173427),,Windows 10,1507,Updates,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB4019474),,Windows 10,1507,All,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 (KB4019474),,Windows 10,1507,Updates,x86,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 for x64-based Systems (KB3125217),,Windows 10,1507,Updates,x64,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 for x64-based Systems (KB3141032),,Windows 10,1507,Updates,x64,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 for x64-based Systems (KB3161102),,Windows 10,1507,Updates,x64,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 for x64-based Systems (KB3173427),,Windows 10,1507,Updates,x64,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 for x64-based Systems (KB4019474),,Windows 10,1507,Updates,x64,d2085b71-5f1f-43a9-880d-ed159016d5c6,
Windows 10 Version 1507 for x64,,Windows 10,1507,Updates,x64,"a3c2375d-0c8a-42f9-bce0-28333e198407
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
Windows 10 Version 1507 for x86,,Windows 10,1507,Updates,x86,"a3c2375d-0c8a-42f9-bce0-28333e198407
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
Windows 10 Version 1511 (,,Windows 10,1511,All,x86,"a3c2375d-0c8a-42f9-bce0-28333e198407
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
Windows 10 Version 1511 (,,Windows 10,1511,Updates,x86,"a3c2375d-0c8a-42f9-bce0-28333e198407
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
*Windows 10 Version 1511 for *x64*,Wildcard,Windows 10,1511,Updates,x64,"a3c2375d-0c8a-42f9-bce0-28333e198407
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
*Windows 10 Version 1511 for *x86*,Wildcard,Windows 10,1511,Updates,x86,"a3c2375d-0c8a-42f9-bce0-28333e198407
d2085b71-5f1f-43a9-880d-ed159016d5c6
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
Windows 10 Version 1607 (,,Windows 10,1607,All,x86,"a3c2375d-0c8a-42f9-bce0-28333e198407
e4b04398-adbd-4b69-93b9-477322331cd3
abc45868-0c9c-4bc0-a36d-03d54113baf4",
